"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","8","2023-07-11","Arthur Oliveira Maia","PRESIDENTE","(Arthur Oliveira Maia. UNIÃO - BA. Fala da Presidência.)","UNIÃO","BA","Fala da Presidência","Havendo número regimental, declaro aberta a 8ª Reunião da Comissão Parlamentar Mista de Inquérito criada pelo Requerimento do Congresso Nacional nº 1, de 2023, para investigar os atos de ação e omissão ocorridos em 8 de janeiro de 2023, nas sedes dos Três Poderes da República, em Brasília.  A presente reunião se divide em duas partes. A primeira destina-se ao depoimento do senhor... Vamos inverter. A primeira destina-se à apreciação de requerimentos constantes da pauta. Vamos discutir o critério a partir de uma proposta trazida aqui pela ilustre Deputada Jandira Feghali, que nos pareceu a mais adequada. E, em seguida, ouviremos o depoimento do Sr. Mauro Cesar Barbosa Cid. Senhores, antes de partirmos para a aprovação dos requerimentos, nós estávamos discutindo aqui, antes da sessão, quais seriam os critérios. Tenho aqui na minha mão... Além daqueles requerimentos que eu coloquei eu próprio, de autoria, por vontade do Presidente, que colocamos na pauta, existe aqui uma relação constante de 197 requerimentos que foram trazidos a esta Presidência pelos mais diversos Parlamentares, a começar, é claro, e com toda prioridade, pela nossa Relatora, mas também outros Parlamentares trouxeram aqui os seus requerimentos que gostariam de ver apreciados. Eu quero dizer, antes de qualquer coisa, que a compreensão desta Presidência é de que, quanto mais requerimentos aprovarmos, melhor. Eu penso que é extremamente salutar que tenhamos o maior número possível tanto de oitivas como de documentos. As oitivas têm, entretanto, uma limitação de tempo, porque temos visto que cada oitiva demora praticamente toda uma reunião e, como nós temos um número limitado de reuniões, se convocarmos muita gente, não teremos condição de ouvir a todos. Os documentos, entretanto, não padecem desse problema, porque nós solicitamos os documentos, os documentos chegam aqui à CPMI, a equipe que faz a triagem classifica o documento como sigiloso ou não sigiloso, e, portanto, isso serve de importantíssimo material de trabalho para os Srs. Parlamentares se debruçarem.       09:28   R   Então, estávamos aqui debatendo, antes da reunião, como seria esse procedimento e pareceu-nos mais adequada a proposta da Deputada Jandira Feghali, que seria a seguinte: dos 197 requerimentos que temos aqui, nós aprovaríamos os requerimentos que são solicitação de documentos e faríamos uma Comissão composta por seis Parlamentares. Aí a Presidência, Deputado Rogerio Marinho, abre mão da sua principal prerrogativa, que é fazer a pauta, mas eu acho que isso é muito democrático e vale muito para o andamento dos trabalhos. E esta Comissão composta por seis Parlamentares ficaria responsável pela elaboração da relação de depoimentos que serão aprovados na próxima reunião, quando voltarmos do recesso. Seria, portanto, uma lista consensual. Essa é a nossa proposta. "
"2","8","2023-07-11","MARCOS ROGÉRIO","(PL - RO)","(PL - RO)","PL","RO","","Sr. Presidente... "
"3","8","2023-07-11","Arthur Oliveira Maia","PRESIDENTE","(Arthur Oliveira Maia. UNIÃO - BA)","UNIÃO","BA","","Com a palavra, o Senador Rogério. "
"4","8","2023-07-11","MARCOS ROGÉRIO","(PL - RO)","(PL - RO)","PL","RO","","Marcos Rogério. "
"5","8","2023-07-11","Arthur Oliveira Maia","PRESIDENTE","(Arthur Oliveira Maia. UNIÃO - BA)","UNIÃO","BA","","Marcos Rogério. "
"6","8","2023-07-11","MARCOS ROGÉRIO","(PL - RO)","(PL - RO)","PL","RO","","Obrigado. "
"7","8","2023-07-11","Arthur Oliveira Maia","PRESIDENTE","(Arthur Oliveira Maia. UNIÃO - BA)","UNIÃO","BA","","É que tem dois rogérios: Rogerio Marinho e Marcos Rogério. "
"8","8","2023-07-11","MARCOS ROGÉRIO","(PL - RO. Pela ordem.)","(PL - RO. Pela ordem.)","PL","RO","Pela ordem","São muitos rogérios. Sr. Presidente, primeiro, eu queria cumprimentar V. Exa. pela decisão... "
"9","8","2023-07-11","Arthur Oliveira Maia","PRESIDENTE","(Arthur Oliveira Maia. UNIÃO - BA. Fazendo soar a campainha.)","UNIÃO","BA","Fazendo soar a campainha","Um instante, Senador. Eu pediria silêncio porque é importante a gente... A gente está agora fixando procedimentos e é muito importante que a gente ouça, para que não haja nenhum equívoco. Por favor, Senador. "
"10","8","2023-07-11","MARCOS ROGÉRIO","(PL - RO)","(PL - RO)","PL","RO","","Sr. Presidente, primeiro, eu quero cumprimentar V. Exa. pela decisão madura e equilibrada. Isso permite um ambiente muito mais saudável para o curso da investigação no âmbito desta CPI. A ponderação que faço a V. Exa., em relação ao acordo de procedimento, é concernente aos pedidos de quebra de sigilo. Quanto à requisição de documentos, há um acordo absolutamente razoável aqui. Com relação à quebra, eu faria uma ponderação de que nós não apreciássemos nesse método, sem essa devida avaliação, porque é uma medida mais invasiva. Aí você tem lá os requisitos para a quebra, e não foi possível fazer a verificação de todos esses pedidos constantes na pauta no dia de hoje. Não dá para a gente aprovar quebra de sigilo no varejo. É preciso verificar a fundamentação e a razoabilidade do pedido, porque ele deve ser imprescindível à investigação. Então, a ponderação que faço a V. Exa. é que não se inclua nesse rol do entendimento a questão da quebra de sigilo. "
"11","8","2023-07-11","ELIZIANE GAMA","(PSD - MA)","(PSD - MA)","PSD","MA","","Presidente, pela ordem. É a Senadora Eliziane. "
"12","8","2023-07-11","Arthur Oliveira Maia","PRESIDENTE","(Arthur Oliveira Maia. UNIÃO - BA)","UNIÃO","BA","","A Relatora Eliziane Gama. "
"13","8","2023-07-11","ELIZIANE GAMA","(PSD - MA. Como Relatora.)","(PSD - MA. Como Relatora.)","PSD","MA","Como Relatora","Senador Rogério, eu cumprimento V. Exa. e quero rememorar aqui uma fala que nós fizemos no início os trabalhos desta Comissão. Nós deixamos claro que a gente faria os processos por etapa. A gente iniciaria com as oitivas e, diante das oitivas e da defasagem, da dificuldade, na verdade, de informações, a gente partiria para ações mais enérgicas desta Comissão. Os pedidos de quebra de sigilos que nós estamos fazendo nesta Comissão hoje são de depoentes que já foram ouvidos nesta Comissão e que não contribuíram com os trabalhos da Comissão. Não dá para a gente continuar os trabalhos da CPI sem ter quebra desses sigilos. Nós estamos pedindo quebra, por exemplo, do George Washington. Ele veio aqui e não falou nada. Nós estamos pedindo quebra, por exemplo, do Lawand, que claramente aqui veio e mentiu nesta Comissão. Nós estamos pedindo quebra, por exemplo, do ex-Diretor da Polícia Rodoviária Federal, que claramente, de forma escrachada, mentiu nesta Comissão. Agora, se a gente não puder na verdade buscar a quebra do sigilo, não tem razão de ser esta CPI. Outra coisa: as outras buscas que nós estamos aqui solicitando daqueles que nós não ouvimos são uma prévia de uma quebra. Nós estamos solicitando, por exemplo, os rifes, ou seja, a gente está indo por etapa. Agora, nós temos prazo, nós temos tempo. Se a gente procrastinar bastante aqui, nós vamos chegar ao final dos 180 dias sem nada. A gente já teve depoimento aqui, o nosso primeiro depoimento, a gente tinha notícia de jornal. Ou seja, claro, com todo respeito à imprensa brasileira, mas a gente precisa na verdade ter documentos que venham de inquérito ou de quebras, para que a gente possa na verdade respaldar a nossa oitiva. Ou então nós seremos ridicularizados nessa Comissão.       09:32   R   Então, eu queria pedir aqui aos colegas, nós estamos numa CPI, uma Comissão Parlamentar de Inquérito, isso aqui é um inquérito. Ou a gente faz valer as nossas prerrogativas, ou então... Nós já temos uma dificuldade: o compartilhamento de dados dos inquéritos no âmbito da Polícia Federal e do Supremo Tribunal Federal estão condicionados à Súmula 14, que aguarda as diligências. Ou seja, nós não vamos ter compartilhamento de dados agora, gente. Os inquéritos do Supremo Tribunal Federal e da Polícia Federal, eu posso estar errada, mas poderão não vir até o final desta Comissão, porque as diligências demoram a acontecer. Tem inquérito que demora anos ocorrendo. Então, a gente vai ficar aqui esperando o quê? Ou a gente parte direto para as quebras, ou então nós teremos graves prejuízos aqui, nos trabalhos desta Comissão. Então, Presidente, eu queria pedir a V. Exa. que a gente de fato fizesse a aprovação dessas quebras, como foi apresentado aqui por esta Relatora e também pelos demais membros da Mesa. "
"14","8","2023-07-11","Arthur Oliveira Maia","PRESIDENTE","(Arthur Oliveira Maia. UNIÃO - BA)","UNIÃO","BA","","Deputado Marcos Rogério, Senador Marcos Rogério, eu vou devolver a palavra a V. Exa., mas, assim, pelo que eu entendi, a proposta da Relatora é uma proposta intermediária. Ela propõe que sejam quebrados os sigilos bancários daqueles que já fizeram seu depoimento, não é isso? "
"15","8","2023-07-11","ELIZIANE GAMA","(PSD - MA. Fora do microfone.)","(PSD - MA. Fora do microfone.)","PSD","MA","Fora do microfone","Exato. "
"16","8","2023-07-11","MARCOS ROGÉRIO","(PL - RO)","(PL - RO)","PL","RO","","Não. Ela... Veja, Presidente, apenas para concordar com ela em parte, e V. Exa. está certo... "
"17","8","2023-07-11","Arthur Oliveira Maia","PRESIDENTE","(Arthur Oliveira Maia. UNIÃO - BA)","UNIÃO","BA","","Pois não. "
"18","8","2023-07-11","MARCOS ROGÉRIO","(PL - RO. Para explicação pessoal.)","(PL - RO. Para explicação pessoal.)","PL","RO","Para explicação pessoal","Está certo na intenção, mas não foi o que ela disse no todo. Eu concordo com a Relatora em relação a quem nós já ouvimos. E aí há uma divergência pontual aqui apenas em relação... E aí do ponto de vista de mérito. E aí, no voto, a gente decide, em relação ao ex-Diretor-Geral da Polícia Rodoviária Federal. Quanto aos outros, eu particularmente votarei a favor, inclusive, da quebra de sigilo. Quanto aos outros que já foram ouvidos no âmbito desta CPI. Agora, existem outros que ainda não foram ouvidos e que ela indica também para quebra de sigilo. Então, que se faça, no caso da quebra de sigilo, a votação individualizada, e a gente analisa. No caso de quem já foi ouvido aqui, há concordância, agora, quanto aos demais, não há. "
"19","8","2023-07-11","IZALCI LUCAS","(PSDB - DF)","(PSDB - DF)","PSDB","DF","","Pela ordem, Sr. Presidente. "
"20","8","2023-07-11","Arthur Oliveira Maia","PRESIDENTE","(Arthur Oliveira Maia. UNIÃO - BA)","UNIÃO","BA","","Há uma relação de Parlamentares aqui inscritos pela ordem: Deputado Filipe Barros, Senador Moro, Senador Izalci, Deputada Jandira, Senador Magno e Deputado Ramagem. Então, pela ordem, Deputado Filipe Barros. "
"21","8","2023-07-11","FILIPE BARROS","(PL - PR. Pela ordem.)","(PL - PR. Pela ordem.)","PL","PR","Pela ordem","Sr. Presidente, apenas a título de esclarecimento, porque nós temos que seguir o Regimento Interno. O nosso Regimento Interno diz que a pauta deve ser disponibilizada com 48 horas de antecedência. E, aí, o Regimento Interno da Câmara dos Deputados apresenta a possibilidade do extrapauta. Então, a minha pergunta a V. Exa. é: a pauta foi disponibilizada sem os requerimentos de quebra de sigilo que a Senadora Eliziane Gama está apresentando agora. Nós vamos votar esses requerimentos sob qual condição? É um extrapauta? Porque, se for extrapauta, precisa primeiro analisar e votar o extrapauta para depois entrar no mérito de cada um desses requerimentos, senão, há a necessidade regimental de respeitar as 48 horas de publicidade da pauta que o Regimento Interno nos impõe, não é uma faculdade.       09:36   R   Na pauta de ontem não estavam incluídos esses requerimentos da Senadora Eliziane Gama. Então, nós chegamos aqui pela manhã e fomos todos pegos de surpresa com inúmeros requerimentos feitos. Não há a mínima possibilidade de nós analisarmos aqui em 20, 30 minutos, os requerimentos apresentados pela Senadora Eliziane Gama, e já queremos votar esses requerimentos? "
"22","8","2023-07-11","Arthur Oliveira Maia","PRESIDENTE","(Arthur Oliveira Maia. UNIÃO - BA)","UNIÃO","BA","","Deputado, essa solicitação de requerimentos extrapauta tanto foi feita por Deputados e Senadores ligados ao Governo como por Deputados e Senadores da oposição. Eu penso que quem mais tem a ganhar com a votação de requerimentos aqui, dos dois lados, é justamente a oposição, que tem minoria. E esta Presidência tem feito um esforço nesse sentido. Portanto, essa busca para uma solução regimental em algo que desfavorece a oposição, em vez de nós avançarmos no acordo, parece-me que é uma posição que contraria aquilo que V. Exa. e o lado que V. Exa. se posiciona nesta CPMI. Essa é a minha opinião. "
"23","8","2023-07-11","FILIPE BARROS","(PL - PR)","(PL - PR)","PL","PR","","Claro. "
"24","8","2023-07-11","Arthur Oliveira Maia","PRESIDENTE","(Arthur Oliveira Maia. UNIÃO - BA)","UNIÃO","BA","","Mas se V. Exa. preferir que a gente siga estritamente o Regimento, esta Presidência abre mão da tentativa de fazer um acordo e votaremos, então, aqui de acordo com a vontade da maioria apenas... "
"25","8","2023-07-11","FILIPE BARROS","(PL - PR)","(PL - PR)","PL","PR","","A nossa preocupação... "
"26","8","2023-07-11","Arthur Oliveira Maia","PRESIDENTE","(Arthur Oliveira Maia. UNIÃO - BA)","UNIÃO","BA","","Não tem problema nenhum, Deputado. "
"27","8","2023-07-11","FILIPE BARROS","(PL - PR)","(PL - PR)","PL","PR","","Não, Presidente... "
"28","8","2023-07-11","Arthur Oliveira Maia","PRESIDENTE","(Arthur Oliveira Maia. UNIÃO - BA)","UNIÃO","BA","","Se essa é a vontade... Não venha exigir desta Presidência um preciosismo de cuidado com o Regimento quando nós estamos fazendo um esforço político grande na tentativa de construção de um acordo. "
"29","8","2023-07-11","FILIPE BARROS","(PL - PR)","(PL - PR)","PL","PR","","Só para ficar claro, Presidente... "
"30","8","2023-07-11","Arthur Oliveira Maia","PRESIDENTE","(Arthur Oliveira Maia. UNIÃO - BA)","UNIÃO","BA","","Agora, se isso não é interesse da oposição, paciência. Eu lavo as minhas mãos e deixo votar como V. Exas. quiserem. "
"31","8","2023-07-11","FILIPE BARROS","(PL - PR)","(PL - PR)","PL","PR","","A nossa preocupação, Presidente, é exclusivamente - para ser claro -, é exclusivamente os requerimentos de quebra de sigilo. "
